날짜,저수율
2018-03-12,100.0
2018-03-13,100.0
2018-03-14,100.0
2018-03-15,100.0
2018-03-16,100.0
2018-03-17,100.0
2018-03-18,100.0
2018-03-19,100.0
2018-03-20,100.0
2018-03-21,100.0
2018-03-22,100.0
2018-03-23,100.0
2018-03-24,100.0
2018-03-25,100.0
2018-03-26,100.0
2018-03-27,100.0
2018-03-28,100.0
2018-03-29,100.0
2018-03-30,100.0
2018-03-31,100.0
2018-04-01,100.0
2018-04-02,100.0
2018-04-03,100.0
2018-04-04,100.0
2018-04-05,100.0
2018-04-06,100.0
2018-04-07,100.0
2018-04-08,100.0
2018-04-09,100.0
2018-04-10,100.0
2018-04-11,100.0
2018-04-12,100.0
2018-04-13,100.0
2018-04-14,99.9
2018-04-15,99.9
2018-04-16,99.9
2018-04-17,99.9
2018-04-18,99.9
2018-04-19,99.9
2018-04-20,100.0
2018-04-21,100.0
2018-04-22,100.0
2018-04-23,100.0
2018-04-24,100.0
2018-04-25,100.0
2018-04-26,100.0
2018-04-27,100.0
2018-04-28,100.0
2018-04-29,100.0
2018-04-30,100.0
2018-05-01,100.0
2018-05-02,100.0
2018-05-03,100.0
2018-05-04,100.0
2018-05-05,100.0
2018-05-06,100.0
2018-05-07,100.0
2018-05-08,100.0
2018-05-09,100.0
2018-05-10,99.9
2018-05-11,99.9
2018-05-12,99.9
2018-05-13,99.9
2018-05-14,99.9
2018-05-15,99.9
2018-05-16,99.8
2018-05-17,99.7
2018-05-18,99.6
2018-05-19,99.6
2018-05-20,99.6
2018-05-21,99.5
2018-05-22,99.3
2018-05-23,99.1
2018-05-24,98.9
2018-05-25,98.7
2018-05-26,98.6
2018-05-27,98.4
2018-05-28,98.2
2018-05-29,98.1
2018-05-30,97.9
2018-05-31,97.8
2018-06-01,97.7
2018-06-02,97.6
2018-06-03,97.3
2018-06-04,97.0
2018-06-05,96.9
2018-06-06,96.8
2018-06-07,96.6
2018-06-08,96.4
2018-06-09,96.2
2018-06-10,96.0
2018-06-11,95.8
2018-06-12,95.7
2018-06-13,95.6
2018-06-14,95.4
2018-06-15,95.1
2018-06-16,94.9
2018-06-17,94.8
2018-06-18,94.6
2018-06-19,94.4
2018-06-20,94.3
2018-06-21,94.2
2018-06-22,94.1
2018-06-23,93.9
2018-06-24,93.7
2018-06-25,93.5
2018-06-26,93.4
2018-06-27,93.3
2018-06-28,93.3
2018-06-29,93.4
2018-06-30,93.6
2018-07-01,93.8
2018-07-02,94.1
2018-07-03,97.1
2018-07-04,100.0
2018-07-05,100.0
2018-07-06,100.0
2018-07-07,100.0
2018-07-08,100.0
2018-07-09,100.0
2018-07-10,100.0
2018-07-11,99.9
2018-07-12,99.9
2018-07-13,99.9
2018-07-14,99.9
2018-07-15,99.8
2018-07-16,99.8
2018-07-17,99.7
2018-07-18,99.5
2018-07-19,99.2
2018-07-20,98.9
2018-07-21,98.6
2018-07-22,98.4
2018-07-23,98.1
2018-07-24,97.9
2018-07-25,97.6
2018-07-26,97.3
2018-07-27,97.0
2018-07-28,96.7
2018-07-29,96.5
2018-07-30,96.2
2018-07-31,96.0
2018-08-01,95.7
2018-08-02,95.3
2018-08-03,95.1
2018-08-04,95.1
2018-08-05,95.1
2018-08-06,95.1
2018-08-07,95.4
2018-08-08,95.6
2018-08-09,95.6
2018-08-10,95.6
2018-08-11,95.7
2018-08-12,95.8
2018-08-13,96.1
2018-08-14,96.6
2018-08-15,97.5
2018-08-16,98.6
2018-08-17,99.1
2018-08-18,99.1
2018-08-19,99.0
2018-08-20,98.9
2018-08-21,98.8
2018-08-22,98.8
2018-08-23,98.9
2018-08-24,99.2
2018-08-25,99.6
2018-08-26,99.9
2018-08-27,100.0
2018-08-28,100.0
2018-08-29,100.0
2018-08-30,100.0
2018-08-31,100.0
2018-09-01,100.0
2018-09-02,100.0
2018-09-03,100.0
2018-09-04,100.0
2018-09-05,100.0
2018-09-06,100.0
2018-09-07,100.0
2018-09-08,100.0
2018-09-09,100.0
2018-09-10,100.0
2018-09-11,100.0
2018-09-12,99.9
2018-09-13,99.9
2018-09-14,99.9
2018-09-15,99.8
2018-09-16,99.8
2018-09-17,99.8
2018-09-18,99.9
2018-09-19,100.0
2018-09-20,100.0
2018-09-21,100.0
2018-09-22,99.9
2018-09-23,99.9
2018-09-24,99.9
2018-09-25,99.9
2018-09-26,99.8
2018-09-27,99.8
2018-09-28,99.8
2018-09-29,99.8
2018-09-30,99.8
2018-10-01,99.9
2018-10-02,99.9
2018-10-03,100.0
2018-10-04,100.0
2018-10-05,100.0
2018-10-06,100.0
2018-10-07,100.0
2018-10-08,100.0
2018-10-09,100.0
2018-10-10,100.0
2018-10-11,100.0
2018-10-12,100.0
2018-10-13,100.0
2018-10-14,100.0
2018-10-15,100.0
2018-10-16,100.0
2018-10-17,100.0
2018-10-18,100.0
2018-10-19,100.0
2018-10-20,99.8
2018-10-21,99.3
2018-10-22,98.4
2018-10-23,97.2
2018-10-24,95.7
2018-10-25,91.5
2018-10-26,85.6
2018-10-27,80.3
2018-10-28,75.0
2018-10-29,70.9
2018-10-30,67.6
2018-10-31,65.9
2018-11-01,65.9
2018-11-02,66.0
2018-11-03,66.1
2018-11-04,66.2
2018-11-05,66.3
2018-11-06,66.4
2018-11-07,66.5
2018-11-08,68.1
2018-11-09,70.3
2018-11-10,71.8
2018-11-11,73.0
2018-11-12,73.9
2018-11-13,74.4
2018-11-14,74.8
2018-11-15,75.0
2018-11-16,75.1
2018-11-17,75.2
2018-11-18,75.5
2018-11-19,75.9
2018-11-20,76.0
2018-11-21,76.1
2018-11-22,76.2
2018-11-23,76.3
2018-11-24,76.4
2018-11-25,76.6
2018-11-26,76.7
2018-11-27,76.9
2018-11-28,77.0
2018-11-29,77.1
2018-11-30,77.1
2018-12-01,77.2
2018-12-02,77.3
2018-12-03,77.5
2018-12-04,77.7
2018-12-05,77.9
2018-12-06,78.0
2018-12-07,78.0
2018-12-08,78.0
2018-12-09,78.0
2018-12-10,78.2
2018-12-11,78.4
2018-12-12,78.5
2018-12-13,78.5
2018-12-14,78.6
2018-12-15,78.6
2018-12-16,78.7
2018-12-17,78.7
2018-12-18,78.7
2018-12-19,78.8
2018-12-20,78.9
2018-12-21,79.0
2018-12-22,79.0
2018-12-23,79.1
2018-12-24,79.1
2018-12-25,79.2
2018-12-26,79.2
2018-12-27,79.2
2018-12-28,79.2
2018-12-29,79.3
2018-12-30,79.2
2018-12-31,79.2
2019-01-01,79.5
2019-01-02,79.6
2019-01-03,79.6
2019-01-04,79.6
2019-01-05,79.6
2019-01-06,79.6
2019-01-07,79.7
2019-01-08,79.7
2019-01-09,79.8
2019-01-10,79.9
2019-01-11,79.9
2019-01-12,80.0
2019-01-13,80.0
2019-01-14,80.0
2019-01-15,80.1
2019-01-16,80.1
2019-01-17,80.1
2019-01-18,80.1
2019-01-19,80.1
2019-01-20,80.1
2019-01-21,80.2
2019-01-22,80.3
2019-01-23,80.4
2019-01-24,80.4
2019-01-25,80.4
2019-01-26,80.5
2019-01-27,80.5
2019-01-28,80.5
2019-01-29,80.5
2019-01-30,80.5
2019-01-31,80.5
2019-02-01,80.5
2019-02-02,80.5
2019-02-03,80.5
2019-02-04,80.5
2019-02-05,80.5
2019-02-06,80.5
2019-02-07,80.7
2019-02-08,80.9
2019-02-09,80.9
2019-02-10,80.9
2019-02-11,80.9
2019-02-12,80.9
2019-02-13,80.9
2019-02-14,81.0
2019-02-15,81.1
2019-02-16,81.1
2019-02-17,81.1
2019-02-18,81.1
2019-02-19,81.2
2019-02-20,81.3
2019-02-21,81.4
2019-02-22,81.5
2019-02-23,81.5
2019-02-24,81.5
2019-02-25,81.5
2019-02-26,81.6
2019-02-27,81.7
2019-02-28,81.8
2019-03-01,81.8
2019-03-02,81.9
2019-03-03,81.9
2019-03-04,81.9
2019-03-05,81.9
2019-03-06,82.0
2019-03-07,82.0
2019-03-08,82.1
2019-03-09,82.2
2019-03-10,82.2
2019-03-11,82.3
2019-03-12,82.3
2019-03-13,82.3
2019-03-14,82.4
2019-03-15,82.4
2019-03-16,82.5
2019-03-17,82.6
2019-03-18,82.7
2019-03-19,82.8
2019-03-20,82.9
2019-03-21,82.9
2019-03-22,82.9
2019-03-23,82.9
2019-03-24,82.9
2019-03-25,83.0
2019-03-26,83.2
2019-03-27,83.3
2019-03-28,83.4
2019-03-29,83.5
2019-03-30,83.5
2019-03-31,83.6
2019-04-01,83.6
2019-04-02,83.7
2019-04-03,83.7
