날짜,저수율
2014-01-01,100.0
2014-01-02,100.0
2014-01-03,100.0
2014-01-04,100.0
2014-01-05,100.0
2014-01-06,100.0
2014-01-07,100.0
2014-01-08,100.0
2014-01-09,100.0
2014-01-10,100.0
2014-01-11,100.0
2014-01-12,100.0
2014-01-13,100.0
2014-01-14,100.0
2014-01-15,100.0
2014-01-16,100.0
2014-01-17,100.0
2014-01-18,100.0
2014-01-19,100.0
2014-01-20,100.0
2014-01-21,100.0
2014-01-22,100.0
2014-01-23,100.0
2014-01-24,100.0
2014-01-25,100.0
2014-01-26,100.0
2014-01-27,100.0
2014-01-28,100.0
2014-01-29,100.0
2014-01-30,100.0
2014-01-31,100.0
2014-02-01,100.0
2014-02-02,100.0
2014-02-03,100.0
2014-02-04,100.0
2014-02-05,100.0
2014-02-06,100.0
2014-02-07,100.0
2014-02-08,100.0
2014-02-09,100.0
2014-02-10,100.0
2014-02-11,100.0
2014-02-12,100.0
2014-02-13,100.0
2014-02-14,100.0
2014-02-15,97.9
2014-02-16,93.0
2014-02-17,87.0
2014-02-18,82.1
2014-02-19,80.0
2014-02-20,80.0
2014-02-21,80.0
2014-02-22,80.0
2014-02-23,80.0
2014-02-24,80.0
2014-02-25,80.0
2014-02-26,80.0
2014-02-27,80.0
2014-02-28,80.0
2014-03-01,80.0
2014-03-02,80.0
2014-03-03,80.0
2014-03-04,80.0
2014-03-05,80.0
2014-03-06,80.0
2014-03-07,80.0
2014-03-08,80.0
2014-03-09,80.0
2014-03-10,80.0
2014-03-11,80.0
2014-03-12,80.0
2014-03-13,80.0
2014-03-14,80.0
2014-03-15,80.0
2014-03-16,80.0
2014-03-17,80.0
2014-03-18,80.0
2014-03-19,80.0
2014-03-20,80.0
2014-03-21,80.5
2014-03-22,81.8
2014-03-23,83.2
2014-03-24,84.5
2014-03-25,85.0
2014-03-26,85.0
2014-03-27,85.0
2014-03-28,85.0
2014-03-29,85.0
2014-03-30,85.0
2014-03-31,85.0
2014-04-01,85.0
2014-04-02,85.0
2014-04-03,85.0
2014-04-04,85.0
2014-04-05,85.0
2014-04-06,85.0
2014-04-07,85.0
2014-04-08,85.0
2014-04-09,85.0
2014-04-10,85.0
2014-04-11,85.0
2014-04-12,85.0
2014-04-13,85.0
2014-04-14,85.0
2014-04-15,85.0
2014-04-16,85.0
2014-04-17,85.0
2014-04-18,85.0
2014-04-19,85.0
2014-04-20,85.0
2014-04-21,85.0
2014-04-22,85.0
2014-04-23,85.0
2014-04-24,85.0
2014-04-25,85.0
2014-04-26,85.0
2014-04-27,85.0
2014-04-28,85.0
2014-04-29,85.0
2014-04-30,85.0
2014-05-01,85.0
2014-05-02,85.0
2014-05-03,85.0
2014-05-04,85.0
2014-05-05,85.0
2014-05-06,85.0
2014-05-07,85.0
2014-05-08,85.0
2014-05-09,85.0
2014-05-10,85.0
2014-05-11,85.0
2014-05-12,85.0
2014-05-13,85.0
2014-05-14,85.0
2014-05-15,85.0
2014-05-16,85.0
2014-05-17,85.0
2014-05-18,85.0
2014-05-19,85.0
2014-05-20,85.0
2014-05-21,85.0
2014-05-22,85.0
2014-05-23,85.0
2014-05-24,85.0
2014-05-25,85.0
2014-05-26,85.0
2014-05-27,85.0
2014-05-28,85.0
2014-05-29,85.0
2014-05-30,85.0
2014-05-31,85.0
2014-06-01,85.0
2014-06-02,85.0
2014-06-03,85.0
2014-06-04,85.0
2014-06-05,85.0
2014-06-06,85.0
2014-06-07,85.0
2014-06-08,85.0
2014-06-09,85.0
2014-06-10,85.0
2014-06-11,85.0
2014-06-12,85.0
2014-06-13,85.0
2014-06-14,85.0
2014-06-15,85.0
2014-06-16,84.4
2014-06-17,82.7
2014-06-18,80.4
2014-06-19,77.7
2014-06-20,75.0
2014-06-21,71.5
2014-06-22,67.5
2014-06-23,65.0
2014-06-24,64.1
2014-06-25,63.4
2014-06-26,62.9
2014-06-27,62.5
2014-06-28,62.2
2014-06-29,61.9
2014-06-30,61.6
2014-07-01,61.2
2014-07-02,60.7
2014-07-03,60.0
2014-07-04,58.8
2014-07-05,57.1
2014-07-06,55.6
2014-07-07,55.0
2014-07-08,56.0
2014-07-09,58.9
2014-07-10,63.2
2014-07-11,68.5
2014-07-12,74.4
2014-07-13,80.6
2014-07-14,86.5
2014-07-15,91.8
2014-07-16,96.1
2014-07-17,99.0
2014-07-18,100.0
2014-07-19,99.9
2014-07-20,99.6
2014-07-21,99.2
